Feature
1,ENSG00000164045
2,ENSG00000232591
3,ENSG00000078900
4,ENSG00000154277
5,ENSG00000286438
6,ENSG00000236081
7,ENSG00000289321
8,ENSG00000257271
9,ENSG00000109674
10,ENSG00000168078
11,ENSG00000088882
12,ENSG00000285412
13,ENSG00000187855
14,ENSG00000187288
15,ENSG00000158246
16,ENSG00000231652
17,ENSG00000279668
18,ENSG00000229433
19,ENSG00000248571
20,ENSG00000230628
21,ENSG00000225255
22,ENSG00000267255
23,ENSG00000289003
24,ENSG00000225231
25,ENSG00000287040
26,ENSG00000204904
27,ENSG00000132622
28,ENSG00000273387
29,ENSG00000179914
30,ENSG00000275232
31,ENSG00000286504
32,ENSG00000131969
33,ENSG00000231346
34,ENSG00000183454
35,ENSG00000289588
36,ENSG00000230379
37,ENSG00000262528
38,ENSG00000285081
39,ENSG00000152253
40,ENSG00000211967
41,ENSG00000229291
42,ENSG00000228201
43,ENSG00000185070
44,ENSG00000177757
45,ENSG00000113721
46,ENSG00000287339
47,ENSG00000166448
48,ENSG00000290469
49,ENSG00000281392
50,ENSG00000253293
51,ENSG00000205755
52,ENSG00000100336
53,ENSG00000260340
54,ENSG00000163630
55,ENSG00000230368
56,ENSG00000271133
57,ENSG00000140623
58,ENSG00000291242
59,ENSG00000259469
60,ENSG00000289993
61,ENSG00000127423
62,ENSG00000236700
63,ENSG00000286872
64,ENSG00000248884
65,ENSG00000255236
66,ENSG00000254639
67,ENSG00000188365
68,ENSG00000225953
69,ENSG00000282608
70,ENSG00000287502
71,ENSG00000124557
72,ENSG00000286558
73,ENSG00000272967
74,ENSG00000111012
75,ENSG00000130037
76,ENSG00000162627
77,ENSG00000261759
78,ENSG00000177459
79,ENSG00000272719
80,ENSG00000198892
81,ENSG00000137819
82,ENSG00000166106
83,ENSG00000285773
84,ENSG00000173894
85,ENSG00000232386
86,ENSG00000286341
87,ENSG00000274370
88,ENSG00000287613
89,ENSG00000249309
90,ENSG00000231528
91,ENSG00000021852
92,ENSG00000287688
93,ENSG00000138028
94,ENSG00000260317
95,ENSG00000276747
96,ENSG00000149927
97,ENSG00000271009
98,ENSG00000259775
99,ENSG00000130208
100,ENSG00000254343
101,ENSG00000242732
102,ENSG00000240093
103,ENSG00000188958
104,ENSG00000151917
105,ENSG00000256343
106,ENSG00000254165
107,ENSG00000198754
108,ENSG00000260135
109,ENSG00000198959
110,ENSG00000269968
111,ENSG00000224216
112,ENSG00000164591
113,ENSG00000162881
114,ENSG00000232640
115,ENSG00000132681
116,ENSG00000255801
